[GIN] 2026/06/19 - 07:31:51 | 200 |     24.4609ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     15.1685ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |      15.615ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |     23.7189ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |     16.6832ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |      24.267ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |     16.2356ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |     23.8835ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |     14.9886ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |     24.4191ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |     19.2583ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |     24.2715ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:52 | 200 |     15.5713ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     24.8075ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     23.6351ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     14.5267ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     23.3462ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     14.5987ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     15.5318ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     24.4638ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     14.6678ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     23.9193ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     15.0972ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:57 | 200 |     24.2746ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     24.8789ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     15.0697ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     14.5695ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     24.5265ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     13.5316ms |       127.0.0.1 | POST     "/api/embed"
